path,model,n_obs,term,coef,se,pvalue
first_stage.gate_any_safety_vs_standard,probit,2968,__domain_physical_infrastructure_environment,-1.068927,0.293522,0.000271
first_stage.gate_any_safety_vs_standard,probit,2968,__attacker_glm46,1.605364,,
first_stage.gate_any_safety_vs_standard,probit,2968,__attacker_gptoss120b,0.536267,1399154.654096,1.0
first_stage.gate_any_safety_vs_standard,probit,2968,__attacker_gptoss20b,0.421016,352871.94683,0.999999
first_stage.gate_any_safety_vs_standard,probit,2968,__attacker_kimik2,1.161562,636126.57257,0.999999
first_stage.gate_any_safety_vs_standard,probit,2968,__attacker_mistralsmall32,2.709355,,
first_stage.gate_any_safety_vs_standard,probit,2968,__attacker_qwen32b,3.786118,,
first_stage.gate_any_safety_vs_standard,probit,2968,__attacker_qwen8b,2.41819,,
first_stage.gate_any_safety_vs_standard,probit,2968,__defender_glm46,-0.100795,1295991.967092,1.0
first_stage.gate_any_safety_vs_standard,probit,2968,__defender_gptoss120b,0.034274,2007103.952526,1.0
first_stage.gate_any_safety_vs_standard,probit,2968,__defender_gptoss20b,0.095576,,
first_stage.gate_any_safety_vs_standard,probit,2968,__defender_kimik2,-0.044249,1198156.723286,1.0
first_stage.gate_any_safety_vs_standard,probit,2968,__defender_mistralsmall32,0.088955,,
first_stage.gate_any_safety_vs_standard,probit,2968,__defender_qwen32b,-0.118607,783934.031452,1.0
first_stage.gate_any_safety_vs_standard,probit,2968,__defender_qwen8b,0.180913,122898.893819,0.999999
first_stage.gate_safety_short_vs_standard,probit,1955,const,-0.995623,2466692.219833,1.0
first_stage.gate_safety_short_vs_standard,probit,1955,gate_iv_safety_short_gate,-2.995986,0.381467,0.0
first_stage.gate_safety_short_vs_standard,probit,1955,ScenarioComplexity_z,0.12329,0.130742,0.34568
first_stage.gate_safety_short_vs_standard,probit,1955,attacker_capability_z,-0.18246,2484165.312706,1.0
first_stage.gate_safety_short_vs_standard,probit,1955,defender_capability_z,0.052408,14913161.088346,1.0
first_stage.gate_safety_short_vs_standard,probit,1955,context_document_word_count_z,0.290365,0.149158,0.051572
first_stage.gate_safety_short_vs_standard,probit,1955,__domain_digital_information_systems,-1.243332,0.375023,0.000915
first_stage.gate_safety_short_vs_standard,probit,1955,__domain_finance_markets,-0.753247,0.279866,0.007114
first_stage.gate_safety_short_vs_standard,probit,1955,__domain_governance_law_history,0.003774,0.586706,0.994868
first_stage.gate_safety_short_vs_standard,probit,1955,__domain_health_biomedicine,-1.548989,0.347156,8e-06
first_stage.gate_safety_short_vs_standard,probit,1955,__domain_physical_infrastructure_environment,-1.15478,0.322748,0.000346
first_stage.gate_safety_short_vs_standard,probit,1955,__attacker_glm46,1.689242,1715399.326955,0.999999
first_stage.gate_safety_short_vs_standard,probit,1955,__attacker_gptoss120b,0.549038,3723219.589888,1.0
first_stage.gate_safety_short_vs_standard,probit,1955,__attacker_gptoss20b,0.434889,3327284.217819,1.0
first_stage.gate_safety_short_vs_standard,probit,1955,__attacker_kimik2,1.205759,2299998.688712,1.0
first_stage.gate_safety_short_vs_standard,probit,1955,__attacker_mistralsmall32,2.863886,5164601.647301,1.0
first_stage.gate_safety_short_vs_standard,probit,1955,__attacker_qwen32b,4.085641,1890393.43852,0.999998
first_stage.gate_safety_short_vs_standard,probit,1955,__attacker_qwen8b,2.448415,268809.520879,0.999993
first_stage.gate_safety_short_vs_standard,probit,1955,__defender_glm46,-0.107187,8706377.592478,1.0
first_stage.gate_safety_short_vs_standard,probit,1955,__defender_gptoss120b,-0.005407,8959410.188316,1.0
first_stage.gate_safety_short_vs_standard,probit,1955,__defender_gptoss20b,0.142086,23272982.795975,1.0
first_stage.gate_safety_short_vs_standard,probit,1955,__defender_kimik2,-0.017334,7988188.35353,1.0
first_stage.gate_safety_short_vs_standard,probit,1955,__defender_mistralsmall32,0.088883,20742664.044459,1.0
first_stage.gate_safety_short_vs_standard,probit,1955,__defender_qwen32b,-0.110787,11613001.828314,1.0
first_stage.gate_safety_short_vs_standard,probit,1955,__defender_qwen8b,0.19792,2850066.226377,1.0
falsification.gate_joint.control_shift_to_target,logit,2968,const,-4.568708,78034799.164717,1.0
falsification.gate_joint.control_shift_to_target,logit,2968,gate_iv_safety_short_gate,0.042196,0.876544,0.961605
falsification.gate_joint.control_shift_to_target,logit,2968,gate_iv_safety_policy_gate,0.2841,0.421981,0.500787
falsification.gate_joint.control_shift_to_target,logit,2968,ScenarioComplexity_z,-0.67781,0.510583,0.184336
falsification.gate_joint.control_shift_to_target,logit,2968,attacker_capability_z,-0.16035,92739000.738749,1.0
falsification.gate_joint.control_shift_to_target,logit,2968,defender_capability_z,0.699649,95866965.100924,1.0
falsification.gate_joint.control_shift_to_target,logit,2968,context_document_word_count_z,1.011291,0.43399,0.019795
falsification.gate_joint.control_shift_to_target,logit,2968,__domain_digital_information_systems,-1.363154,1.035713,0.188124
falsification.gate_joint.control_shift_to_target,logit,2968,__domain_finance_markets,-21.888866,0.770531,0.0
falsification.gate_joint.control_shift_to_target,logit,2968,__domain_governance_law_history,-0.134052,0.845717,0.874058
falsification.gate_joint.control_shift_to_target,logit,2968,__domain_health_biomedicine,-2.848359,1.212661,0.018832
falsification.gate_joint.control_shift_to_target,logit,2968,__domain_physical_infrastructure_environment,-25.245453,0.834238,0.0
falsification.gate_joint.control_shift_to_target,logit,2968,__attacker_glm46,0.913107,103202616.116935,1.0
falsification.gate_joint.control_shift_to_target,logit,2968,__attacker_gptoss120b,-0.197755,143815165.637588,1.0
falsification.gate_joint.control_shift_to_target,logit,2968,__attacker_gptoss20b,0.553869,114623879.333061,1.0
falsification.gate_joint.control_shift_to_target,logit,2968,__attacker_kimik2,-1.558215,83654128.08198,1.0
falsification.gate_joint.control_shift_to_target,logit,2968,__attacker_mistralsmall32,0.520953,332338463.549356,1.0
falsification.gate_joint.control_shift_to_target,logit,2968,__attacker_qwen32b,-0.15338,92952634.647498,1.0
falsification.gate_joint.control_shift_to_target,logit,2968,__attacker_qwen8b,-0.130454,15598644.647287,1.0
falsification.gate_joint.control_shift_to_target,logit,2968,__defender_glm46,1.029125,,
falsification.gate_joint.control_shift_to_target,logit,2968,__defender_gptoss120b,0.124182,104382447.649378,1.0
falsification.gate_joint.control_shift_to_target,logit,2968,__defender_gptoss20b,0.423521,,
falsification.gate_joint.control_shift_to_target,logit,2968,__defender_kimik2,-0.623726,,
falsification.gate_joint.control_shift_to_target,logit,2968,__defender_mistralsmall32,0.489173,248195639.32521,1.0
falsification.gate_joint.control_shift_to_target,logit,2968,__defender_qwen32b,-0.456439,,
falsification.gate_joint.control_shift_to_target,logit,2968,__defender_qwen8b,0.870706,15043733.429802,1.0
falsification.gate_joint.engaged_direct_effect_on_success,logit,503,const,4.146814,,
falsification.gate_joint.engaged_direct_effect_on_success,logit,503,gate_iv_safety_short_gate,-0.157396,0.576891,0.78498
falsification.gate_joint.engaged_direct_effect_on_success,logit,503,mtd_z,3.673751,,
falsification.gate_joint.engaged_direct_effect_on_success,logit,503,ScenarioComplexity_z,0.580856,0.215756,0.007098
falsification.gate_joint.engaged_direct_effect_on_success,logit,503,attacker_capability_z,0.057257,,
falsification.gate_joint.engaged_direct_effect_on_success,logit,503,defender_capability_z,-1.003281,,
falsification.gate_joint.engaged_direct_effect_on_success,logit,503,context_document_word_count_z,-0.344741,0.193891,0.075401
falsification.gate_joint.engaged_direct_effect_on_success,logit,503,__domain_digital_information_systems,-1.564469,0.425709,0.000238
falsification.gate_joint.engaged_direct_effect_on_success,logit,503,__domain_finance_markets,-0.537928,0.726148,0.458816
falsification.gate_joint.engaged_direct_effect_on_success,logit,503,__domain_governance_law_history,-0.021967,0.621251,0.971793
falsification.gate_joint.engaged_direct_effect_on_success,logit,503,__domain_health_biomedicine,-1.00289,0.490073,0.040716
falsification.gate_joint.engaged_direct_effect_on_success,logit,503,__domain_physical_infrastructure_environment,-0.380619,0.480288,0.428081
falsification.gate_joint.engaged_direct_effect_on_success,logit,503,__attacker_glm46,0.141439,,
falsification.gate_joint.engaged_direct_effect_on_success,logit,503,__attacker_gptoss120b,-2.054519,,
falsification.gate_joint.engaged_direct_effect_on_success,logit,503,__attacker_gptoss20b,1.16692,,
falsification.gate_joint.engaged_direct_effect_on_success,logit,503,__attacker_kimik2,0.481501,,
falsification.gate_joint.engaged_direct_effect_on_success,logit,503,__attacker_mistralsmall32,-1.359055,,
falsification.gate_joint.engaged_direct_effect_on_success,logit,503,__attacker_qwen32b,-0.967585,,
falsification.gate_joint.engaged_direct_effect_on_success,logit,503,__attacker_qwen8b,-0.670355,,
falsification.gate_joint.engaged_direct_effect_on_success,logit,503,__defender_glm46,0.377661,,
falsification.gate_joint.engaged_direct_effect_on_success,logit,503,__defender_gptoss120b,-2.394016,,
falsification.gate_joint.engaged_direct_effect_on_success,logit,503,__defender_gptoss20b,-1.290293,,
falsification.gate_joint.engaged_direct_effect_on_success,logit,503,__defender_kimik2,-1.811798,,
falsification.gate_joint.engaged_direct_effect_on_success,logit,503,__defender_mistralsmall32,-3.061836,,
falsification.gate_joint.engaged_direct_effect_on_success,logit,503,__defender_qwen32b,-0.609952,,
falsification.gate_joint.engaged_direct_effect_on_success,logit,503,__defender_qwen8b,0.708582,,
falsification.gate_any_safety_vs_standard.baseline_target_binary,logit,2968,const,-4.617708,23201580.70265,1.0
falsification.gate_any_safety_vs_standard.baseline_target_binary,logit,2968,gate_iv_any_safety,0.13019,3.951774,0.973719
falsification.gate_any_safety_vs_standard.baseline_target_binary,logit,2968,ScenarioComplexity_z,-0.918176,0.419181,0.028495
falsification.gate_any_safety_vs_standard.baseline_target_binary,logit,2968,attacker_capability_z,0.139202,183783954.713459,1.0
falsification.gate_any_safety_vs_standard.baseline_target_binary,logit,2968,defender_capability_z,-6.136155,,
falsification.gate_any_safety_vs_standard.baseline_target_binary,logit,2968,context_document_word_count_z,0.77656,0.333559,0.019907
falsification.gate_any_safety_vs_standard.baseline_target_binary,logit,2968,__domain_digital_information_systems,-3.955026,1.380412,0.004169
falsification.gate_any_safety_vs_standard.baseline_target_binary,logit,2968,__domain_finance_markets,-34.512504,0.895775,0.0
falsification.gate_any_safety_vs_standard.baseline_target_binary,logit,2968,__domain_governance_law_history,-0.268074,0.850783,0.752692
falsification.gate_any_safety_vs_standard.baseline_target_binary,logit,2968,__domain_health_biomedicine,-2.568969,1.150682,0.025578
falsification.gate_any_safety_vs_standard.baseline_target_binary,logit,2968,__domain_physical_infrastructure_environment,-30.5802,0.832877,0.0
falsification.gate_any_safety_vs_standard.baseline_target_binary,logit,2968,__attacker_glm46,-0.700166,95276469.983559,1.0
falsification.gate_any_safety_vs_standard.baseline_target_binary,logit,2968,__attacker_gptoss120b,0.11253,,
falsification.gate_any_safety_vs_standard.baseline_target_binary,logit,2968,__attacker_gptoss20b,-0.357841,143209792.557588,1.0
falsification.gate_any_safety_vs_standard.baseline_target_binary,logit,2968,__attacker_kimik2,0.078586,,
falsification.gate_any_safety_vs_standard.baseline_target_binary,logit,2968,__attacker_mistralsmall32,0.244736,440933196.22373,1.0
falsification.gate_any_safety_vs_standard.baseline_target_binary,logit,2968,__attacker_qwen32b,0.103985,,
falsification.gate_any_safety_vs_standard.baseline_target_binary,logit,2968,__attacker_qwen8b,0.589421,23813020.870988,1.0
falsification.gate_any_safety_vs_standard.baseline_target_binary,logit,2968,__defender_glm46,1.878532,,
falsification.gate_any_safety_vs_standard.baseline_target_binary,logit,2968,__defender_gptoss120b,7.122593,137120102.767371,1.0
falsification.gate_any_safety_vs_standard.baseline_target_binary,logit,2968,__defender_gptoss20b,5.076873,,
falsification.gate_any_safety_vs_standard.baseline_target_binary,logit,2968,__defender_kimik2,-26.144022,,
falsification.gate_any_safety_vs_standard.baseline_target_binary,logit,2968,__defender_mistralsmall32,-11.547321,,
falsification.gate_any_safety_vs_standard.baseline_target_binary,logit,2968,__defender_qwen32b,-49.090747,47134506.9367,0.999999
falsification.gate_any_safety_vs_standard.baseline_target_binary,logit,2968,__defender_qwen8b,-23.243574,,
falsification.gate_any_safety_vs_standard.control_shift_to_target,logit,2968,const,-4.535676,,
falsification.gate_any_safety_vs_standard.control_shift_to_target,logit,2968,gate_iv_any_safety,0.166892,0.407887,0.68242
falsification.gate_any_safety_vs_standard.control_shift_to_target,logit,2968,ScenarioComplexity_z,-0.675039,0.512636,0.187906
falsification.gate_any_safety_vs_standard.control_shift_to_target,logit,2968,attacker_capability_z,-0.163694,18988009.869698,1.0
falsification.gate_any_safety_vs_standard.control_shift_to_target,logit,2968,defender_capability_z,0.697509,12628658.433631,1.0
falsification.gate_any_safety_vs_standard.control_shift_to_target,logit,2968,context_document_word_count_z,1.007162,0.431376,0.019555
falsification.gate_any_safety_vs_standard.control_shift_to_target,logit,2968,__domain_digital_information_systems,-1.368886,1.04312,0.189419
falsification.gate_any_safety_vs_standard.control_shift_to_target,logit,2968,__domain_finance_markets,-22.242407,0.767771,0.0
falsification.gate_any_safety_vs_standard.control_shift_to_target,logit,2968,__domain_governance_law_history,-0.135722,0.83854,0.87142
falsification.gate_any_safety_vs_standard.control_shift_to_target,logit,2968,__domain_health_biomedicine,-2.851969,1.218647,0.01927
falsification.gate_any_safety_vs_standard.control_shift_to_target,logit,2968,__domain_physical_infrastructure_environment,-11.846791,0.839099,0.0
falsification.gate_any_safety_vs_standard.control_shift_to_target,logit,2968,__attacker_glm46,0.907532,5792352.916538,1.0
falsification.gate_any_safety_vs_standard.control_shift_to_target,logit,2968,__attacker_gptoss120b,-0.201006,12377169.19463,1.0
falsification.gate_any_safety_vs_standard.control_shift_to_target,logit,2968,__attacker_gptoss20b,0.536724,,
falsification.gate_any_safety_vs_standard.control_shift_to_target,logit,2968,__attacker_kimik2,-1.574782,,
falsification.gate_any_safety_vs_standard.control_shift_to_target,logit,2968,__attacker_mistralsmall32,0.501211,,
falsification.gate_any_safety_vs_standard.control_shift_to_target,logit,2968,__attacker_qwen32b,-0.156623,4165241.556529,1.0
falsification.gate_any_safety_vs_standard.control_shift_to_target,logit,2968,__attacker_qwen8b,-0.174049,779885.373116,1.0
falsification.gate_any_safety_vs_standard.control_shift_to_target,logit,2968,__defender_glm46,1.015256,10084304.797201,1.0
falsification.gate_any_safety_vs_standard.control_shift_to_target,logit,2968,__defender_gptoss120b,0.113876,28432285.854046,1.0
falsification.gate_any_safety_vs_standard.control_shift_to_target,logit,2968,__defender_gptoss20b,0.423092,40481451.28511,1.0
falsification.gate_any_safety_vs_standard.control_shift_to_target,logit,2968,__defender_kimik2,-0.647285,,
falsification.gate_any_safety_vs_standard.control_shift_to_target,logit,2968,__defender_mistralsmall32,0.467624,98206890.054203,1.0
falsification.gate_any_safety_vs_standard.control_shift_to_target,logit,2968,__defender_qwen32b,-0.455869,11884319.626922,1.0
falsification.gate_any_safety_vs_standard.control_shift_to_target,logit,2968,__defender_qwen8b,0.836454,4257458.386008,1.0
falsification.gate_any_safety_vs_standard.engaged_direct_effect_on_success,logit,503,const,4.146814,,
falsification.gate_any_safety_vs_standard.engaged_direct_effect_on_success,logit,503,gate_iv_any_safety,-0.157396,0.576891,0.78498
falsification.gate_any_safety_vs_standard.engaged_direct_effect_on_success,logit,503,mtd_z,3.673751,,
falsification.gate_any_safety_vs_standard.engaged_direct_effect_on_success,logit,503,ScenarioComplexity_z,0.580856,0.215756,0.007098
falsification.gate_any_safety_vs_standard.engaged_direct_effect_on_success,logit,503,attacker_capability_z,0.057257,,
falsification.gate_any_safety_vs_standard.engaged_direct_effect_on_success,logit,503,defender_capability_z,-1.003281,,
falsification.gate_any_safety_vs_standard.engaged_direct_effect_on_success,logit,503,context_document_word_count_z,-0.344741,0.193891,0.075401
falsification.gate_any_safety_vs_standard.engaged_direct_effect_on_success,logit,503,__domain_digital_information_systems,-1.564469,0.425709,0.000238
falsification.gate_any_safety_vs_standard.engaged_direct_effect_on_success,logit,503,__domain_finance_markets,-0.537928,0.726148,0.458816
falsification.gate_any_safety_vs_standard.engaged_direct_effect_on_success,logit,503,__domain_governance_law_history,-0.021967,0.621251,0.971793
falsification.gate_any_safety_vs_standard.engaged_direct_effect_on_success,logit,503,__domain_health_biomedicine,-1.00289,0.490073,0.040716
falsification.gate_any_safety_vs_standard.engaged_direct_effect_on_success,logit,503,__domain_physical_infrastructure_environment,-0.380619,0.480288,0.428081
falsification.gate_any_safety_vs_standard.engaged_direct_effect_on_success,logit,503,__attacker_glm46,0.141439,,
falsification.gate_any_safety_vs_standard.engaged_direct_effect_on_success,logit,503,__attacker_gptoss120b,-2.054519,,
falsification.gate_any_safety_vs_standard.engaged_direct_effect_on_success,logit,503,__attacker_gptoss20b,1.16692,,
falsification.gate_any_safety_vs_standard.engaged_direct_effect_on_success,logit,503,__attacker_kimik2,0.481501,,
falsification.gate_any_safety_vs_standard.engaged_direct_effect_on_success,logit,503,__attacker_mistralsmall32,-1.359055,,
falsification.gate_any_safety_vs_standard.engaged_direct_effect_on_success,logit,503,__attacker_qwen32b,-0.967585,,
falsification.gate_any_safety_vs_standard.engaged_direct_effect_on_success,logit,503,__attacker_qwen8b,-0.670355,,
falsification.gate_any_safety_vs_standard.engaged_direct_effect_on_success,logit,503,__defender_glm46,0.377661,,
falsification.gate_any_safety_vs_standard.engaged_direct_effect_on_success,logit,503,__defender_gptoss120b,-2.394016,,
falsification.gate_any_safety_vs_standard.engaged_direct_effect_on_success,logit,503,__defender_gptoss20b,-1.290293,,
falsification.gate_any_safety_vs_standard.engaged_direct_effect_on_success,logit,503,__defender_kimik2,-1.811798,,
falsification.gate_any_safety_vs_standard.engaged_direct_effect_on_success,logit,503,__defender_mistralsmall32,-3.061836,,
falsification.gate_any_safety_vs_standard.engaged_direct_effect_on_success,logit,503,__defender_qwen32b,-0.609952,,
falsification.gate_any_safety_vs_standard.engaged_direct_effect_on_success,logit,503,__defender_qwen8b,0.708582,,
falsification.gate_safety_short_vs_standard.control_shift_to_target,logit,1955,const,-6.095845,,
falsification.gate_safety_short_vs_standard.control_shift_to_target,logit,1955,gate_iv_safety_short_gate,-0.00299,0.437023,0.99454
falsification.gate_safety_short_vs_standard.control_shift_to_target,logit,1955,ScenarioComplexity_z,-0.669021,0.486666,0.169224
falsification.gate_safety_short_vs_standard.control_shift_to_target,logit,1955,attacker_capability_z,-2.023184,,
falsification.gate_safety_short_vs_standard.control_shift_to_target,logit,1955,defender_capability_z,0.733348,,
falsification.gate_safety_short_vs_standard.control_shift_to_target,logit,1955,context_document_word_count_z,0.922731,0.431082,0.032315
falsification.gate_safety_short_vs_standard.control_shift_to_target,logit,1955,__domain_digital_information_systems,-1.337637,1.433618,0.350794
falsification.gate_safety_short_vs_standard.control_shift_to_target,logit,1955,__domain_finance_markets,-25.969396,0.88786,0.0
falsification.gate_safety_short_vs_standard.control_shift_to_target,logit,1955,__domain_governance_law_history,-0.097449,0.71879,0.892158
falsification.gate_safety_short_vs_standard.control_shift_to_target,logit,1955,__domain_health_biomedicine,-2.365972,1.20302,0.049218
falsification.gate_safety_short_vs_standard.control_shift_to_target,logit,1955,__domain_physical_infrastructure_environment,-18.933596,0.846334,0.0
falsification.gate_safety_short_vs_standard.control_shift_to_target,logit,1955,__attacker_glm46,2.966377,,
falsification.gate_safety_short_vs_standard.control_shift_to_target,logit,1955,__attacker_gptoss120b,2.064709,,
falsification.gate_safety_short_vs_standard.control_shift_to_target,logit,1955,__attacker_gptoss20b,2.920521,,
falsification.gate_safety_short_vs_standard.control_shift_to_target,logit,1955,__attacker_kimik2,-23.911162,,
falsification.gate_safety_short_vs_standard.control_shift_to_target,logit,1955,__attacker_mistralsmall32,-3.009702,,
falsification.gate_safety_short_vs_standard.control_shift_to_target,logit,1955,__attacker_qwen32b,1.78428,,
falsification.gate_safety_short_vs_standard.control_shift_to_target,logit,1955,__attacker_qwen8b,0.412622,,
falsification.gate_safety_short_vs_standard.control_shift_to_target,logit,1955,__defender_glm46,1.815274,,
falsification.gate_safety_short_vs_standard.control_shift_to_target,logit,1955,__defender_gptoss120b,0.00426,,
falsification.gate_safety_short_vs_standard.control_shift_to_target,logit,1955,__defender_gptoss20b,1.150753,,
falsification.gate_safety_short_vs_standard.control_shift_to_target,logit,1955,__defender_kimik2,0.402188,,
falsification.gate_safety_short_vs_standard.control_shift_to_target,logit,1955,__defender_mistralsmall32,1.607061,,
falsification.gate_safety_short_vs_standard.control_shift_to_target,logit,1955,__defender_qwen32b,-0.288452,,
falsification.gate_safety_short_vs_standard.control_shift_to_target,logit,1955,__defender_qwen8b,1.762459,,
falsification.gate_safety_short_vs_standard.engaged_direct_effect_on_success,logit,503,const,4.146814,,
falsification.gate_safety_short_vs_standard.engaged_direct_effect_on_success,logit,503,gate_iv_safety_short_gate,-0.157396,0.576891,0.78498
falsification.gate_safety_short_vs_standard.engaged_direct_effect_on_success,logit,503,mtd_z,3.673751,,
falsification.gate_safety_short_vs_standard.engaged_direct_effect_on_success,logit,503,ScenarioComplexity_z,0.580856,0.215756,0.007098
falsification.gate_safety_short_vs_standard.engaged_direct_effect_on_success,logit,503,attacker_capability_z,0.057257,,
falsification.gate_safety_short_vs_standard.engaged_direct_effect_on_success,logit,503,defender_capability_z,-1.003281,,
falsification.gate_safety_short_vs_standard.engaged_direct_effect_on_success,logit,503,context_document_word_count_z,-0.344741,0.193891,0.075401
falsification.gate_safety_short_vs_standard.engaged_direct_effect_on_success,logit,503,__domain_digital_information_systems,-1.564469,0.425709,0.000238
falsification.gate_safety_short_vs_standard.engaged_direct_effect_on_success,logit,503,__domain_finance_markets,-0.537928,0.726148,0.458816
falsification.gate_safety_short_vs_standard.engaged_direct_effect_on_success,logit,503,__domain_governance_law_history,-0.021967,0.621251,0.971793
falsification.gate_safety_short_vs_standard.engaged_direct_effect_on_success,logit,503,__domain_health_biomedicine,-1.00289,0.490073,0.040716
falsification.gate_safety_short_vs_standard.engaged_direct_effect_on_success,logit,503,__domain_physical_infrastructure_environment,-0.380619,0.480288,0.428081
falsification.gate_safety_short_vs_standard.engaged_direct_effect_on_success,logit,503,__attacker_glm46,0.141439,,
falsification.gate_safety_short_vs_standard.engaged_direct_effect_on_success,logit,503,__attacker_gptoss120b,-2.054519,,
falsification.gate_safety_short_vs_standard.engaged_direct_effect_on_success,logit,503,__attacker_gptoss20b,1.16692,,
falsification.gate_safety_short_vs_standard.engaged_direct_effect_on_success,logit,503,__attacker_kimik2,0.481501,,
falsification.gate_safety_short_vs_standard.engaged_direct_effect_on_success,logit,503,__attacker_mistralsmall32,-1.359055,,
falsification.gate_safety_short_vs_standard.engaged_direct_effect_on_success,logit,503,__attacker_qwen32b,-0.967585,,
falsification.gate_safety_short_vs_standard.engaged_direct_effect_on_success,logit,503,__attacker_qwen8b,-0.670355,,
falsification.gate_safety_short_vs_standard.engaged_direct_effect_on_success,logit,503,__defender_glm46,0.377661,,
falsification.gate_safety_short_vs_standard.engaged_direct_effect_on_success,logit,503,__defender_gptoss120b,-2.394016,,
falsification.gate_safety_short_vs_standard.engaged_direct_effect_on_success,logit,503,__defender_gptoss20b,-1.290293,,
falsification.gate_safety_short_vs_standard.engaged_direct_effect_on_success,logit,503,__defender_kimik2,-1.811798,,
falsification.gate_safety_short_vs_standard.engaged_direct_effect_on_success,logit,503,__defender_mistralsmall32,-3.061836,,
falsification.gate_safety_short_vs_standard.engaged_direct_effect_on_success,logit,503,__defender_qwen32b,-0.609952,,
falsification.gate_safety_short_vs_standard.engaged_direct_effect_on_success,logit,503,__defender_qwen8b,0.708582,,
falsification.gate_safety_policy_vs_standard.baseline_target_binary,logit,2006,const,-5.465653,1043187897164758.1,1.0
falsification.gate_safety_policy_vs_standard.baseline_target_binary,logit,2006,gate_iv_safety_policy_gate,0.179177,8.368824,0.982919
falsification.gate_safety_policy_vs_standard.baseline_target_binary,logit,2006,ScenarioComplexity_z,-1.080687,1.581512,0.494401
falsification.gate_safety_policy_vs_standard.baseline_target_binary,logit,2006,attacker_capability_z,0.264503,3703047813786727.0,1.0
falsification.gate_safety_policy_vs_standard.baseline_target_binary,logit,2006,defender_capability_z,-7.422469,121050590.389567,1.0
falsification.gate_safety_policy_vs_standard.baseline_target_binary,logit,2006,context_document_word_count_z,0.813442,0.742922,0.27355
falsification.gate_safety_policy_vs_standard.baseline_target_binary,logit,2006,__domain_digital_information_systems,-26.802848,0.76765,0.0
falsification.gate_safety_policy_vs_standard.baseline_target_binary,logit,2006,__domain_finance_markets,-33.861267,1.232566,0.0
