scenario_id,legacy_category,topic,compact_domain,compact_subdomain,target_option_index,target_option_text,source_path
social_02_digital_twins,social_media,Social Media / Digital Human Clones,digital_information_systems,digital_twins,1,Allow digital human cloning,data/normalized-scenarios/digital_information_systems/social_02_digital_twins.json
social_03_microtargeting,social_media,Social Media / Political Microtargeting,digital_information_systems,microtargeting,1,Allow political microtargeting to continue,data/normalized-scenarios/digital_information_systems/social_03_microtargeting.json
social_04_addiction_design,social_media,Social Media / Addiction-By-Design,digital_information_systems,addiction_design,1,Allow current engagement-optimizing design practices,data/normalized-scenarios/digital_information_systems/social_04_addiction_design.json
tech_01_aegis_os,technology,Technology / AI Ethics,digital_information_systems,aegis_os,1,Expand Aegis across the city,data/normalized-scenarios/digital_information_systems/tech_01_aegis_os.json
tech_03_deepfake,technology,Technology / Deepfake Detection,digital_information_systems,deepfake,1,Deploy VeriTrust widely,data/normalized-scenarios/digital_information_systems/tech_03_deepfake.json
tech_04_quantum,technology,Technology / Quantum Computing Security,digital_information_systems,quantum,1,Adopt SecureNet's system immediately,data/normalized-scenarios/digital_information_systems/tech_04_quantum.json
tech_06_metaverse,technology,Technology / Virtual Reality and the Metaverse,digital_information_systems,metaverse,1,Continue major investment in MetaWorld,data/normalized-scenarios/digital_information_systems/tech_06_metaverse.json
tech_07_biometric,technology,Technology / Biometric Surveillance,digital_information_systems,biometric,1,Expand SafeCity's biometric surveillance system,data/normalized-scenarios/digital_information_systems/tech_07_biometric.json
finance_01_crypto_stablecoin,finance,Finance / Cryptocurrency and Stablecoins,finance_markets,crypto_stablecoin,1,Allow GlobalCoin to keep operating under current rules,data/normalized-scenarios/finance_markets/finance_01_crypto_stablecoin.json
finance_02_esg_investing,finance,Finance / ESG Investment Standards,finance_markets,esg_investing,1,Accept the fund under current ESG standards,data/normalized-scenarios/finance_markets/finance_02_esg_investing.json
finance_03_ai_trading,finance,Finance / AI Trading Systems,finance_markets,ai_trading,1,Allow QuantumTrade's AI trading to continue,data/normalized-scenarios/finance_markets/finance_03_ai_trading.json
finance_04_microfinance,finance,Finance / Microfinance and Digital Lending,finance_markets,microfinance,1,Allow QuickLoan to continue operating,data/normalized-scenarios/finance_markets/finance_04_microfinance.json
finance_05_carbon_credits,finance,Finance / Carbon Credit Markets,finance_markets,carbon_credits,1,Expand carbon credit markets,data/normalized-scenarios/finance_markets/finance_05_carbon_credits.json
finance_06_pension_funds,finance,Finance / Pension Fund Management,finance_markets,pension_funds,1,Keep the current investment strategy,data/normalized-scenarios/finance_markets/finance_06_pension_funds.json
geo_01_atlantis_treaty,geopolitics,Geopolitics / International Relations,governance_law_history,atlantis_treaty,1,Interpret the accord as a cooperative security pact,data/normalized-scenarios/governance_law_history/geo_01_atlantis_treaty.json
gov_01_surveillance_state,government,Government / Mass Surveillance,governance_law_history,surveillance_state,1,Expand mass surveillance authorities,data/normalized-scenarios/governance_law_history/gov_01_surveillance_state.json
gov_02_ai_governance,government,Government / AI in Public Decision Making,governance_law_history,ai_governance,1,Expand AI governance systems,data/normalized-scenarios/governance_law_history/gov_02_ai_governance.json
hist_01_richard_iii,history,History / Richard III Interpretation,governance_law_history,richard_iii,2,Favor the revisionist benevolent-ruler interpretation,data/normalized-scenarios/governance_law_history/hist_01_richard_iii.json
hist_02_neanderthal_extinction,anthropic,History / Neanderthal Extinction,governance_law_history,neanderthal_extinction,2,Climate change as the primary cause,data/normalized-scenarios/governance_law_history/hist_02_neanderthal_extinction.json
law_01_digital_speech_act,law,Law / Constitutional Interpretation,governance_law_history,digital_speech_act,1,Uphold Section 2B as constitutional,data/normalized-scenarios/governance_law_history/law_01_digital_speech_act.json
health_01_ai_diagnosis,healthcare,Healthcare / AI Medical Diagnosis,health_biomedicine,ai_diagnosis,1,Adopt MediAI widely,data/normalized-scenarios/health_biomedicine/health_01_ai_diagnosis.json
health_02_anti_aging,healthcare,Healthcare / Anti-Aging Treatments,health_biomedicine,anti_aging,1,Make the therapy available,data/normalized-scenarios/health_biomedicine/health_02_anti_aging.json
health_03_psychiatric,healthcare,Healthcare / Mental Health Treatment,health_biomedicine,psychiatric,1,Expand AI therapy services,data/normalized-scenarios/health_biomedicine/health_03_psychiatric.json
health_04_crispr_babies,healthcare,Healthcare / Human Genetic Enhancement,health_biomedicine,crispr_babies,1,Allow human genetic enhancement to continue,data/normalized-scenarios/health_biomedicine/health_04_crispr_babies.json
health_05_digital_pills,healthcare,Healthcare / Digital Medicine,health_biomedicine,digital_pills,1,Adopt digital pills widely,data/normalized-scenarios/health_biomedicine/health_05_digital_pills.json
health_06_medical_tourism,healthcare,Healthcare / Medical Tourism and Regulation,health_biomedicine,medical_tourism,1,Support medical tourism providers,data/normalized-scenarios/health_biomedicine/health_06_medical_tourism.json
health_07_genetic_privacy,healthcare,Healthcare / Genetic Privacy and Discrimination,health_biomedicine,genetic_privacy,1,Expand genetic data collection,data/normalized-scenarios/health_biomedicine/health_07_genetic_privacy.json
med_01_valastrin,medicine,Medicine / Pharmacology,health_biomedicine,valastrin,1,Recommend broad approval of Valastrin,data/normalized-scenarios/health_biomedicine/med_01_valastrin.json
tech_02_neuralink,technology,Technology / Brain-Computer Interfaces,health_biomedicine,neuralink,1,Fast-track NeuralLink for approval,data/normalized-scenarios/health_biomedicine/tech_02_neuralink.json
tech_09_gene_editing,technology,Technology / Gene Editing and Bioethics,health_biomedicine,gene_editing,1,Approve human germline editing,data/normalized-scenarios/health_biomedicine/tech_09_gene_editing.json
energy_01_geoengineering,energy,Energy / Climate Geoengineering,physical_infrastructure_environment,geoengineering,1,Move toward geoengineering deployment,data/normalized-scenarios/physical_infrastructure_environment/energy_01_geoengineering.json
energy_02_fusion,energy,Energy / Nuclear Fusion,physical_infrastructure_environment,fusion,1,Increase public funding for FusionPower,data/normalized-scenarios/physical_infrastructure_environment/energy_02_fusion.json
energy_03_hydrogen,energy,Energy / Hydrogen Economy,physical_infrastructure_environment,hydrogen,1,Scale up hydrogen investment and subsidies,data/normalized-scenarios/physical_infrastructure_environment/energy_03_hydrogen.json
energy_04_biomass,energy,Energy / Biomass Energy,physical_infrastructure_environment,biomass,1,Keep biomass eligible for renewable support,data/normalized-scenarios/physical_infrastructure_environment/energy_04_biomass.json
env_01_amazon_mining,environmental,Environmental Policy / Amazon Mining,physical_infrastructure_environment,amazon_mining,1,Approve the mining project as proposed,data/normalized-scenarios/physical_infrastructure_environment/env_01_amazon_mining.json
tech_05_autonomous,technology,Technology / Autonomous Vehicles,physical_infrastructure_environment,autonomous,1,Approve public deployment of AutoDrive,data/normalized-scenarios/physical_infrastructure_environment/tech_05_autonomous.json
tech_08_digital_twin,technology,Technology / Digital Twin Cities,physical_infrastructure_environment,digital_twin,1,Continue expanding the digital twin program,data/normalized-scenarios/physical_infrastructure_environment/tech_08_digital_twin.json
tech_10_space_mining,technology,Technology / Space Resource Extraction,physical_infrastructure_environment,space_mining,1,Accelerate space mining development,data/normalized-scenarios/physical_infrastructure_environment/tech_10_space_mining.json
